"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",2.02816130989904,3.24593870679414e-15,1.33797593494054e-11,475,0.46011901833019,113,"Igkv6-25 Ighv1-19 Ighv5-12 Igkv12-98 Igkv1-133 Igkv8-30 Igkv12-38 Ighv1-85 Igkv9-123 Igkv3-1 Ighv1-84 Igkv4-63 Ighv5-16 Igkv1-88 Igkv4-69 Igkv4-54 Igkv6-29 Igkv4-90 Jchain Ighv2-6-8 Ighv2-4 Ighv11-2 Ighv14-1 Ighv5-9-1 Ighv2-7 Ighv2-3 Ighv5-4 Igkv4-57-1 Igkv5-45 Ighv1-20 Il12rb1 Ighv3-1 Igkv4-51 Igkv4-72 Igkv3-5 Ighv14-3 Ighv1-7 Igkv4-61 Igkv10-95 Ighv5-15 Igkv4-78 Igkv8-34 Nod2 Ighv2-9 Ighv2-6 Clec4a3 Ahr Igkv11-125 Lat Ighv2-5 Ighv1-5 Ighv7-1 Igkv4-68 Sh2d1b1 Cd80 Igkv18-36 Ighv13-2 Ighv2-2 Ighv2-9-1 Igkv3-2 Ighg3 Ighv9-1 Fcer1g Lag3 Prdm1 Mpeg1 Lilrb4a Prkcq Igkv4-55 Spn Ighv1-74 Zbtb46 Ighv3-6 Igkv4-57 Igkv8-21 Igkv2-109 Trem1 Igkv4-80 Ighv5-6 Igkv5-43 Masp2 Igkv4-71 Pla2g4a Igkv2-137 Igkv12-44 Cd46 Il9r Ighv1-22 Igkv8-24 Ighv5-2 Ighv5-17 Prkcz Fcgr4 Lyst Igkv16-104 Klhl22 Mfsd6 Fadd Ighv15-2 Igkv4-79 Aire Serpinb9 Cd27 Igkv4-86 Shld1 Igkv4-59 Jak3 Prr7 Iglv1 Tnfsf18 Ighv14-2 Csf2rb Igha"
"GOBP_CHROMOSOME_SEGREGATION",-2.08991504365253,6.7250896070201e-15,1.38604096800684e-11,365,-0.512928077582282,84,"Ncapg2 Bub1 Mybl2 Kif14 Nuf2 Cenpf Spc24 Dlgap5 Aspm Kif4 Fmn2 Ccne2 Cdk1 Bub1b Gen1 Nsl1 Cit Brip1 Cenpe Fbxo5 Nusap1 Esco2 Spag5 Kif22 Ska3 Ckap2l Top2a Bcl7a Kifc5b Kif11 Diaph3 Cenpl Knl1 Kntc1 Birc5 Ndc80 Plk1 Kif23 Mki67 Ncapg Kifc1 Ube2c Fbxo30 Cenpi Spc25 Ccnb1ip1 Spdl1 Uhrf1 Ncaph Fancd2 Ttl Aurkb Ttk Prc1 Ect2 Brca1 Knstrn Ccnb1 Cenpm Ccnb2 Tacc3 Rad18 Cenpn Flna Dsn1 Sass6 Smc2 Cenpp Ncapd2 Espl1 Cenpa Cdca2 Mcmdc2 Sun1 Spo11 Chek2 Rangrf Tpx2 Xrcc3 Katnb1 Lats1 Ripor2 Phf13 Anapc15"
"GOBP_NUCLEAR_CHROMOSOME_SEGREGATION",-2.17108451659939,1.18945715939707e-13,1.63431413701157e-10,269,-0.548414363763513,72,"Ncapg2 Bub1 Mybl2 Kif14 Nuf2 Cenpf Spc24 Aspm Kif4 Fmn2 Ccne2 Cdk1 Bub1b Gen1 Nsl1 Cit Brip1 Cenpe Fbxo5 Nusap1 Spag5 Kif22 Ska3 Ckap2l Top2a Bcl7a Kifc5b Kif11 Knl1 Kntc1 Birc5 Ndc80 Plk1 Kif23 Ncapg Kifc1 Ube2c Cenpi Spc25 Ccnb1ip1 Spdl1 Uhrf1 Ncaph Fancd2 Ttl Aurkb Ttk Prc1 Ect2 Knstrn Ccnb1 Ccnb2 Tacc3 Flna Dsn1 Smc2 Ncapd2 Espl1 Cenpa Mcmdc2 Sun1 Spo11 Chek2 Rangrf Tpx2 Xrcc3 Katnb1 Lats1 Ripor2 Phf13 Anapc15 Stag1"
"GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",-2.23359023933887,2.12901766387864e-12,2.19395270262693e-09,179,-0.589145286803534,54,"Ncapg2 Bub1 Mybl2 Kif14 Nuf2 Spc24 Kif4 Cdk1 Bub1b Gen1 Nsl1 Cit Cenpe Fbxo5 Nusap1 Spag5 Kif22 Ska3 Ckap2l Kifc5b Kif11 Knl1 Kntc1 Birc5 Ndc80 Plk1 Kif23 Ncapg Kifc1 Ube2c Cenpi Spc25 Spdl1 Uhrf1 Ncaph Aurkb Ttk Prc1 Knstrn Ccnb1 Flna Smc2 Ncapd2 Espl1 Cenpa Chek2 Rangrf Tpx2 Xrcc3 Katnb1 Ripor2 Phf13 Anapc15 Stag1"
"GOBP_ORGANELLE_FISSION",-1.98012123498441,2.68930464236443e-12,2.21706274716524e-09,382,-0.483903181627914,92,"Ncapg2 Bub1 Ankle1 Mybl2 Kif14 Igf1r Nuf2 Spc24 Eps8 Smpd3 Rad51 Aspm Kif4 Fanca Fmn2 Ccne2 Cdk1 Bub1b Gen1 Nsl1 Cit Brip1 Cenpe Fbxo5 Mastl Nusap1 Spag5 Kif22 Ska3 Ckap2l Top2a Fancm Kifc5b Kif11 Knl1 Kntc1 Birc5 Ndc80 Tom1l1 Plk1 Kif23 Mki67 Ncapg Kifc1 Ube2c Cenpi Spc25 Ccnb1ip1 Spdl1 Uhrf1 Ncaph Fancd2 Aurkb Ttk Prc1 Rad51c Cdc25b Rad51ap1 Rad54l Knstrn Ccnb1 Bnip3 Ccnb2 Ppargc1a Cks2 Flna Cdc14b Smc2 Ncapd2 Fignl1 Mief2 Suv39h2 Espl1 Cenpa Cdca2 Mcmdc2 Acox1 Sun1 Nfia Spo11 Chek2 Rangrf Inf2 Tpx2 Xrcc3 Katnb1 Ripor2 Stat2 Phf13 Anapc15 Stag1 Camk2b"
"GOBP_SISTER_CHROMATID_SEGREGATION",-2.15606081967881,5.6045139283096e-12,3.85030106874869e-09,210,-0.558895696562598,72,"Ncapg2 Bub1 Mybl2 Kif14 Nuf2 Spc24 Kif4 Cdk1 Bub1b Gen1 Nsl1 Cit Cenpe Fbxo5 Nusap1 Spag5 Kif22 Ska3 Ckap2l Top2a Bcl7a Kifc5b Kif11 Knl1 Kntc1 Birc5 Ndc80 Plk1 Kif23 Ncapg Kifc1 Ube2c Cenpi Spc25 Spdl1 Uhrf1 Ncaph Aurkb Ttk Prc1 Knstrn Ccnb1 Tacc3 Flna Smc2 Ncapd2 Espl1 Cenpa Chek2 Rangrf Tpx2 Xrcc3 Katnb1 Lats1 Ripor2 Phf13 Anapc15 Stag1 Smarca4 Spice1 Kif15 Abraxas2 Cenpk Anapc1 Nup62 Snhg15 Dis3l2 Kif2a Brd7 Arid2 Ncapd3 Clasp1"
"GOBP_MITOTIC_NUCLEAR_DIVISION",-2.11043602930037,7.32486590758967e-12,4.31329961015495e-09,233,-0.541725842592427,62,"Ncapg2 Bub1 Mybl2 Kif14 Igf1r Nuf2 Spc24 Eps8 Smpd3 Kif4 Cdk1 Bub1b Gen1 Nsl1 Cit Cenpe Fbxo5 Nusap1 Spag5 Kif22 Ska3 Ckap2l Kifc5b Kif11 Knl1 Kntc1 Birc5 Ndc80 Tom1l1 Plk1 Kif23 Mki67 Ncapg Kifc1 Ube2c Cenpi Spc25 Spdl1 Uhrf1 Ncaph Aurkb Ttk Prc1 Knstrn Ccnb1 Flna Cdc14b Smc2 Ncapd2 Espl1 Cenpa Cdca2 Nfia Chek2 Rangrf Tpx2 Xrcc3 Katnb1 Ripor2 Phf13 Anapc15 Stag1"
"GOBP_CHROMOSOME_ORGANIZATION",-1.8450954030255,8.94922741198299e-11,4.61108942402424e-08,467,-0.443987714913745,116,"Tcf7l2 Ncapg2 Bub1 Mybl2 Kif14 Nhej1 Nuf2 Spc24 Cdca5 Rad51 Dlgap5 Kif4 Ccne2 Mis18bp1 Cdk1 Bub1b Gen1 Nsl1 Klf4 Cit Brip1 Cenpe Fbxo5 Nusap1 Esco2 Spag5 Kif22 Ska3 Ckap2l Top2a Bcl7a Kifc5b Kif11 Knl1 Kntc1 Birc5 Ndc80 Plk1 Kif23 Ncapg Kifc1 Ube2c Fbxo30 Cenpi Spc25 Ccnb1ip1 Spdl1 Uhrf1 Ncaph Fancd2 Aurkb Ttk Prc1 Rad51c Rad54l Knstrn Ccnb1 Tacc3 Cenpn Dscc1 Flna Cip2a Smc2 Cenpp Ncapd2 Nbn Hus1 Espl1 Cenpa Pogz Mcmdc2 Sun1 Spo11 Chek2 Rangrf Tpx2 Xrcc3 Shld3 Katnb1 Lats1 Ripor2 Myc Phf13 Anapc15 Nup155 Top1mt Stag1 Zfp827 Smarca4 Spice1 Slx1b Kif15 Abraxas2 Tert Mapkapk5 Smg6 Cenpk Pds5b Anapc1 Cbx5 Prkdc Nup62 Snhg15 Oip5 Parn Dis3l2 Kif2a Cct3 Mapk3 Brd7 Arid2 Terb1 Ncapd3 Tnks Map3k4 Clasp1"
"GOBP_CHROMOSOME_LOCALIZATION",-2.20731720635618,3.596372778282e-10,1.64713873245316e-07,112,-0.619485997201193,28,"Kif14 Nuf2 Cenpf Spc24 Fmn2 Cdk1 Nsl1 Cenpe Spag5 Kif22 Ska3 Kifc5b Knl1 Birc5 Ndc80 Kifc1 Spc25 Spdl1 Ttl Aurkb Ttk Ect2 Knstrn Ccnb1 Dsn1 Cenpa Sun1 Spo11"
"GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS",-2.03002499907185,1.08599868750617e-09,4.47648658990042e-07,204,-0.528629817861641,65,"Rrm2 Ncapg2 Bub1 Kif14 Igf1r Smpd3 Ccne2 Cdk1 Gen1 E2f7 E2f8 Cit Cenpe Fbxo5 Stox1 Nusap1 Spag5 Ska3 Ezh2 Poc1a Knl1 Rad51b Birc5 Ndc80 Plk1 Kif23 Ube2e2 Ncapg Ube2c Ncaph Aurkb Pkp4 Ccnd1 Rad51c Cdc25b Rad51ap1 Ect2 Ccnb1 Pagr1a Pbx1 Rad18 Lsm11 Ccnd3 Plk4 Cdc14b Sass6 Smc2 Ncapd2 Kif20b Chek2 Cdc7 Xrcc3 Cdc25a Azin1 Camk2b Lmnb1 Dbf4 Atad5 Crebbp Tert Cep295 Tmod3 Cul4a Nup62 Prkce"
