"pathway","NES","pval","padj","size","ES","leading_edge_n","leading_edge_genes"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",-2.15249344834244,5.59721019529306e-18,2.25455626666404e-14,431,-0.482781920208581,113,"Igkv6-32 Igkv1-117 Igkv6-23 Ighv1-58 Ighv1-80 Igkv6-17 Igkv8-21 Ighv1-50 Ighv1-78 Igkv1-122 Ighv8-12 Ighv6-6 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv2-6-8 Ighv1-5 Ighv1-72 Igkv6-15 Ighv1-64 Ighv1-69 Igkv8-30 Ighv7-1 Iglv1 Ighv1-54 Igkv4-61 Igkv6-25 Igkv12-44 Ighv1-15 Ighv1-47 Ighv1-59 Igkv10-95 Igkv9-120 Ighv1-77 Igkv9-129 H2-Aa Ighv10-1 Igkv8-28 Ighv10-3 Ighv3-1 Ighv1-85 Igkv11-125 Ighv1-26 Prdm1 Igkv3-12 Gpr183 Igkv19-93 Cd74 Igkv12-98 Igkv10-96 Ighv1-81 Fcer2a Ighv1-82 Ighv8-6 Igkv6-20 H2-DMb2 Slfn2 Ighv1-11 Igkv8-24 H2-Eb1 Ighv1-19 Ighg2b Ighv1-9 Cd44 Igkv14-111 Ighv1-39 Igkv12-46 Ighv1-61 Masp2 H2-Ab1 Ighv1-74 Ighv6-3 Igkv4-54 Vsir Fcrlb Ighv1-71 Cr2 Siglecg Ighv15-2 Gadd45g Ighv1-76 Tnfrsf13c Ighv1-7 Stx7 Ighv1-67 Ighv3-6 Tfeb Hlx Fcmr Ighv3-8 Cd55 Cd40 Dusp10 Irf4 H2-Eb2 Ighv1-12 Ighv1-75 Ighv7-3 Ighv2-9-1 Igkv14-126 Ighv8-8 Prr7 Ighv9-1 Igkv13-85 Mtor Bach2 Igkv4-86 Igkv10-94 Igkv1-135 Dbnl Rnf125 Rnf19b"
"GOBP_B_CELL_MEDIATED_IMMUNITY",-2.25871235232006,4.14892569092499e-12,8.35593634152293e-09,168,-0.559080280908401,57,"Ighv1-58 Ighv1-80 Ighv1-50 Ighv1-78 Ighv8-12 Ighv6-6 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv2-6-8 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv7-1 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv10-1 Ighv10-3 Ighv3-1 Ighv1-85 Ighv1-26 Cd74 Ighv1-81 Fcer2a Ighv1-82 Ighv8-6 Ighv1-11 Ighv1-19 Ighg2b Ighv1-9 Ighv1-39 Ighv1-61 Masp2 Ighv1-74 Ighv6-3 Fcrlb Ighv1-71 Cr2 Ighv15-2 Ighv1-76 Ighv1-7 Ighv1-67 Ighv3-6 Fcmr Ighv3-8 Cd55 Cd40 Ighv1-12 Ighv1-75 Ighv7-3 Ighv2-9-1 Ighv8-8"
"GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY",-1.98533132102774,2.27886182600416e-10,3.05975181171492e-07,277,-0.464093420450115,64,"Ighv1-58 Ighv1-80 Ighv1-50 Ighv1-78 Ighv8-12 Cd2 Ighv6-6 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv2-6-8 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv7-1 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv10-1 Ighv10-3 Ighv3-1 Ighv1-85 Ighv1-26 Cd74 Ighv1-81 Fcer2a Ighv1-82 Ighv8-6 Slfn2 Ighv1-11 Ighv1-19 Ighg2b Ighv1-9 Ighv1-39 Ighv1-61 Masp2 Ighv1-74 Ighv6-3 Vsir Fcrlb Rasgrp1 Ighv1-71 Cr2 Ighv15-2 Ighv1-76 Ighv1-7 Stx7 Ighv1-67 Ighv3-6 Fcmr Ighv3-8 Cd55 Cd40 Ighv1-12 Ighv1-75 Ighv7-3 Ighv2-9-1 Ighv8-8 Ighv9-1 Klrb1"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",-1.89760844015595,9.23084515176597e-10,9.29546106782833e-07,301,-0.439722560521682,67,"Ighv1-58 Ighv1-80 Ighv1-50 Ighv1-78 Ighv8-12 Ighv6-6 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv2-6-8 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv7-1 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv10-1 Ighv10-3 Ighv3-1 Ighv1-85 Ighv1-26 Cd74 Ighv1-81 Fcer2a Ighv1-82 Ighv8-6 Slfn2 Ighv1-11 Ighv1-19 Ighg2b Ighv1-9 Ighv1-39 Ighv1-61 Masp2 Ighv1-74 Ighv6-3 Vsir Fcrlb Ighv1-71 Cr2 Ighv15-2 Gadd45g Ighv1-76 Tnfrsf13c Ighv1-7 Stx7 Ighv1-67 Ighv3-6 Hlx Fcmr Ighv3-8 Cd55 Cd40 Irf4 Ighv1-12 Ighv1-75 Ighv7-3 Ighv2-9-1 Ighv8-8 Ighv9-1 Mtor Bach2"
"GOBP_LEUKOCYTE_MEDIATED_IMMUNITY",-1.79590007393772,2.32568834158759e-08,1.87357452798296e-05,340,-0.410821431961688,69,"Ighv1-58 Ighv1-80 Ighv1-50 Ighv1-78 Ighv8-12 Cd2 Ighv6-6 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv2-6-8 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv7-1 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv10-1 Ighv10-3 Ighv3-1 Ighv1-85 Ighv1-26 Cd74 Ighv1-81 Fcer2a Dnase1l3 Ighv1-82 Ighv8-6 Slfn2 Ighv1-11 Ighv1-19 Ighg2b Ighv1-9 Ighv1-39 Ighv1-61 Masp2 Ighv1-74 Ighv6-3 Vsir Fcrlb Rasgrp1 Ighv1-71 Cr2 Ighv15-2 Scimp Ighv1-76 Ighv1-7 Stx7 Ighv1-67 Ighv3-6 Fcmr Stxbp1 Ighv3-8 Cd55 Cd40 Ighv1-12 Ighv1-75 Ighv7-3 Ighv2-9-1 Ighv8-8 Ncf1 Ighv9-1 Klrb1 Rabgef1"
"GOBP_IMMUNE_EFFECTOR_PROCESS",-1.55464193189131,2.2835664225373e-06,0.00153303425833004,492,-0.345495799656312,82,"Ighv1-58 Ighv1-80 Ighv1-50 Ighv1-78 Ighv8-12 Cd2 Ighv6-6 Ighv12-3 Ighv1-63 Ighv1-55 Ighv1-53 Ighv2-6-8 Ighv1-5 Ighv1-72 Ighv1-64 Ighv1-69 Ighv7-1 Ighv1-54 Ighv1-15 Ighv1-47 Ighv1-59 Ighv1-77 Ighv10-1 Ighv10-3 Ighv3-1 Ighv1-85 Ighv1-26 Gpr183 Cd74 Ighv1-81 Fcer2a Dnase1l3 Ighv1-82 Ighv8-6 H2-DMb2 Slfn2 Ighv1-11 Ighv1-19 Ighg2b Ighv1-9 Ighv1-39 Ighv1-61 Masp2 Grn Ighv1-74 Ighv6-3 Lgals3 Vsir Fcrlb Rasgrp1 Prkce Ighv1-71 Cr2 App Siglecg Ighv15-2 Scimp Gadd45g Ighv1-76 Ighv1-7 Stx7 Ighv1-67 Ighv3-6 Hlx Fcmr Stxbp1 Ighv3-8 Cd55 Cd40 Dusp10 Irf4 Ighv1-12 St3gal1 Ighv1-75 Ighv7-3 Ighv2-9-1 Ighv8-8 Ncf1 Ighv9-1 Klrb1 Rabgef1 Mtor"
"GOBP_DNA_TEMPLATED_DNA_REPLICATION",1.81188985862852,8.9621863260083e-06,0.00515709807445163,145,0.48943092426498,81,"Eme2 Prim2 Brca2 Tk1 Poln Nbn Fancm Pola1 Pole2 Cdc7 Pole Bard1 Ccne1 Mgme1 Cdc6 Lig1 Polq Exo1 Ticrr Eme1 Zranb3 Blm Traip Primpol Mcm6 Tipin Prim1 Parp1 Rad51 Atad5 Dna2 Mre11a Mcm3 Ddx11 Brca1 Cdc45 E2f7 Rfc5 Pold2 Orc1 Gen1 Pold3 Cenpx Pcna Rfc4 Ciz1 Cdk2 Mcm5 Rfc2 Gins1 Rfc1 Nucks1 Cdk1 Rfwd3 Donson Mcm4 Orc6 Rtel1 Fam111a Rrm1 Timeless Gins4 Mcm2 Mms22l Smarcal1 Tonsl Dbf4 Mcm7 Xrcc3 Pola2 Kmt5a Cdt1 Mcm10 Pole3 Mcm9 Fbxo5 Wdr18 Setmar Topbp1 Wdhd1 Orc2"
"GOBP_POSITIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION",1.99809883768709,2.18756641342934e-05,0.0110143968916167,40,0.663180292333268,13,"Tlr4 Ptpn22 Tlr7 Oas3 Oas2 Irf7 Tlr2 Polr3g Polr3d Oas1a Isg15 Rnf135 Ifih1"
"GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION",1.94909237443213,2.8917462357362e-05,0.012942170930606,50,0.6209535691313,46,"Nfe2 Rapgef3 Rpl36a Rpl3l Rplp2 Rpl14 Rpl39 Rplp0 Rplp1 Rpl10a Rpl27a Rpl23 Rpl15 Rpl23a Rpl10 Rpl32 Rpl36 Rpl13 Rpl41 Rpl29 Rpl18a Rpl21 Rpl35 Rpl24 Rpl7a Rpl37a Rpl38 Rpl5 Rpl37 Rpl12 Rpl9 Rpl26 Rpl4 Rpl35a Rpl18 Rpl17 Rpl6 Rpl31 Rpl8 Cflar Rpl28 Rpl27 Rpl34 Rpl11 Rpl19 Rpl13a"
"GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION",1.91545667689084,4.80278773685663e-05,0.0193456290040585,59,0.59263726743271,26,"Ifitm3 Tnf Oas3 Ifitm2 Oas2 Gbp7 Isg20 Oas1a Isg15 Znfx1 Ifih1 Eif2ak2 Oasl2 Oas1c Srpk1 Bcl2 Rnasel N4bp1 Top2a Slpi Ppid Plscr1 Adarb1 Fam111a Shfl Ppie"
